"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종
"죄종별(1)",죄종별(2),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
"계",소계,26869,13787,2660,2769,2103,3902,1369,741,243,13082,2224,2410,1913,3947,1426,795,367
"강력범죄",소계,642,302,47,53,45,95,40,15,7,340,37,56,61,103,45,23,15
"강력범죄",살인기수,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",살인미수등,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",강도,198,113,24,22,19,25,19,3,1,85,11,19,23,20,11,1,-
"강력범죄",강간,209,76,8,15,12,27,7,5,2,133,14,19,21,46,13,12,8
"강력범죄",유사강간,22,8,-,-,-,4,2,1,1,14,3,1,1,6,3,-,-
"강력범죄",강제추행,154,87,12,14,11,31,11,5,3,67,2,10,11,24,13,4,3
"강력범죄",기타 강간·강제추행등,36,8,-,1,2,4,1,-,-,28,6,2,4,6,3,4,3
"강력범죄",방화,23,10,3,1,1,4,-,1,-,13,1,5,1,1,2,2,1
"절도범죄",소계,8146,4334,1219,1035,616,1051,260,122,31,3812,1026,863,589,926,253,103,52
"폭력범죄",소계,6164,3157,377,583,520,883,476,233,85,3007,374,549,476,916,400,210,82
"폭력범죄",상해,742,377,27,75,57,115,66,26,11,365,45,56,58,117,57,24,8
"폭력범죄",폭행,1887,957,86,141,155,280,165,93,37,930,73,178,132,318,124,70,35
"폭력범죄",체포·감금,55,28,2,2,4,9,5,6,-,27,1,7,4,5,5,3,2
"폭력범죄",협박,213,107,13,27,16,32,12,5,2,106,6,26,16,35,15,4,4
"폭력범죄",약취·유인,9,3,-,-,3,-,-,-,-,6,-,-,2,2,2,-,-
"폭력범죄",폭력행위등,2291,1208,172,242,207,322,164,79,22,1083,155,194,187,303,146,73,25
"폭력범죄",공갈,523,273,50,60,46,70,33,10,4,250,59,47,37,69,20,15,3
"폭력범죄",손괴,444,204,27,36,32,55,31,14,9,240,35,41,40,67,31,21,5
"지능범죄",소계,5852,3233,711,644,486,995,213,133,51,2619,456,462,371,870,217,144,99
"지능범죄",직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",통화,3,1,-,1,-,-,-,-,-,2,-,-,1,-,1,-,-
"지능범죄",문서·인장,495,240,30,43,30,79,34,21,3,255,17,40,34,91,35,22,16
"지능범죄",유가증권인지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",사기,4868,2738,646,563,406,843,149,88,43,2130,400,380,312,700,156,107,75
"지능범죄",횡령,485,253,35,37,50,73,29,24,5,232,39,42,24,79,25,15,8
"지능범죄",배임,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"풍속범죄",소계,309,143,9,20,26,47,30,8,3,166,19,19,21,60,22,15,10
"풍속범죄",성풍속범죄,281,137,9,20,25,45,29,7,2,144,17,17,19,54,18,11,8
"풍속범죄",도박범죄,28,6,-,-,1,2,1,1,1,22,2,2,2,6,4,4,2
"특별경제범죄",소계,186,76,16,17,12,17,9,4,1,110,18,18,11,35,20,7,1
"마약범죄",소계,35,12,1,2,1,6,1,1,-,23,2,1,3,8,2,5,2
"보건범죄",소계,10,2,-,-,-,-,2,-,-,8,-,1,1,5,1,-,-
"환경범죄",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"교통범죄",소계,3417,1592,172,253,258,522,214,141,32,1825,172,266,263,608,280,170,66
"노동범죄",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"안보범죄",소계,3,1,-,-,-,-,-,1,-,2,-,1,-,-,-,1,-
"선거범죄",소계,5,4,-,-,1,1,-,1,1,1,-,-,-,-,1,-,-
"병역범죄",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타범죄",소계,2100,931,108,162,138,285,124,82,32,1169,120,174,117,416,185,117,40
